"統計期","性別","<b>總計</b>","印尼","菲律賓","泰國","越南","其他國籍","<b>產業移工</b>","產業移工/印尼","產業移工/菲律賓","產業移工/泰國","產業移工/越南","產業移工/其他國籍","<b>社福移工</b>","社福移工/印尼","社福移工/菲律賓","社福移工/泰國","社福移工/越南","社福移工/其他國籍","<b>其他</b>","其他/印尼","其他/菲律賓","其他/泰國","其他/越南","其他/其他國籍"
"113年 4月底","男",49829,6506,804,1529,40989,1,48882,6333,761,1463,40324,1,505,122,31,16,336,－,442,51,12,50,329,－
"113年 4月底","女",37076,20775,1899,238,14164,－,7269,570,159,199,6341,－,27919,18894,1711,36,7278,－,1888,1311,29,3,545,－
"113年 5月底","合計",87172,27431,2695,1787,55258,1,56327,6972,924,1685,46745,1,28352,18979,1731,51,7591,－,2493,1480,40,51,922,－
"113年 5月底","男",49962,6573,803,1550,41035,1,49018,6400,762,1487,40368,1,503,122,30,15,336,－,441,51,11,48,331,－
"113年 5月底","女",37210,20858,1892,237,14223,－,7309,572,162,198,6377,－,27849,18857,1701,36,7255,－,2052,1429,29,3,591,－
"113年 6月底","合計",87345,27470,2687,1792,55395,1,56516,7032,924,1688,46871,1,30174,20369,1754,52,7999,－,655,69,9,52,525,－
"113年 6月底","男",50128,6623,801,1553,41150,1,49179,6450,760,1488,40480,1,538,122,34,16,366,－,411,51,7,49,304,－
"113年 6月底","女",37217,20847,1886,239,14245,－,7337,582,164,200,6391,－,29636,20247,1720,36,7633,－,244,18,2,3,221,－
"113年 7月底","合計",87576,27604,2707,1781,55483,1,56640,7094,938,1680,46927,1,30245,20437,1760,51,7997,－,691,73,9,50,559,－
"113年 7月底","男",50218,6678,816,1541,41182,1,49280,6507,775,1478,40519,1,529,121,34,16,358,－,409,50,7,47,305,－
"113年 7月底","女",37358,20926,1891,240,14301,－,7360,587,163,202,6408,－,29716,20316,1726,35,7639,－,282,23,2,3,254,－
"113年 8月底","合計",88068,27755,2704,1779,55829,1,57034,7210,937,1676,47210,1,30277,20464,1758,52,8003,－,757,81,9,51,616,－
