"統計期","性別","<b>總計</b>","印尼","菲律賓","泰國","越南","其他國籍","<b>產業移工</b>","產業移工/印尼","產業移工/菲律賓","產業移工/泰國","產業移工/越南","產業移工/其他國籍","<b>社福移工</b>","社福移工/印尼","社福移工/菲律賓","社福移工/泰國","社福移工/越南","社福移工/其他國籍","<b>其他</b>","其他/印尼","其他/菲律賓","其他/泰國","其他/越南","其他/其他國籍"
"95年 11月底","女",16203,4523,2672,328,8677,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 12月底","合計",21051,5512,2982,1839,10711,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 12月底","男",4638,816,288,1520,2010,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"95年 12月底","女",16413,4696,2694,319,8701,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年底","合計",22372,7132,2845,1637,10753,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年底","男",4748,782,244,1378,2341,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年底","女",17624,6350,2601,259,8412,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 1月底","合計",21583,5853,3032,1863,10829,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 1月底","男",4723,846,293,1544,2037,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 1月底","女",16860,5007,2739,319,8792,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 2月底","合計",22346,6219,3092,1916,11113,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 2月底","男",4897,880,304,1586,2124,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 2月底","女",17449,5339,2788,330,8989,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 3月底","合計",23429,6631,3152,2029,11611,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 3月底","男",5360,959,316,1683,2399,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 3月底","女",18069,5672,2836,346,9212,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 4月底","合計",24273,6999,3217,2109,11942,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 4月底","男",5626,1001,317,1763,2542,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 4月底","女",18647,5998,2900,346,9400,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 5月底","合計",24349,7103,3182,2089,11968,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 5月底","男",5684,1000,319,1764,2598,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 5月底","女",18665,6103,2863,325,9370,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 6月底","合計",25098,7443,3212,2148,12288,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 6月底","男",5874,1039,321,1816,2695,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 6月底","女",19224,6404,2891,332,9593,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 7月底","合計",24968,7520,3185,2096,12160,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"96年 7月底","男",5797,1007,317,1772,2698,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
