no,w,county,country,gender,age,q1,q1a_1,q1a_2,q1a_3,q1a_4,q1a_5,q1a_6,q1a_7,q1a_8,q1a_9,q2,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2a_8,q2a_9,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q4,q5,q6,q6a_1,q6a_2,q6a_3,q6a_4,q7,q8a,q8b,q8c,q8d,q8e,q9,q9a_2,q9a_3,q10,q11,q11a_1,q11a_2,q11a_3,q12,q12a1_1,q12a2_1,q12a1_2,q12a2_2,q12b_2,q12b_3,q12c_1,q12c_2,q12c_3,q12c_4,q121,q121a,q13,q13a_1,q13a_2,q13a,q14,q14a_1_1,q14a_2_1,q14b_1_1,q14b_2_1,q14a_1_2,q14a_2_2,q14b_1_2,q14b_2_2,q15,q15a,q16,q16a,q17,q17a_1,q17a_2,q17a_3,q17a_4,q17b,q18,q18a,q18b_1,q18b_2,q18b_3,q18b_4,q18b_5,q18b_6,q18b_7,q18b_8,q19a,q19b,q19c,q19d,q19e,q19f,q19g,q20,q20a,q20b_1,q20b_2,q20b_3,q20b_4,q20b_5,q20b_6,q20b_7,q20b_8,q20c,q20d,q21,q21a,q22_1,q22_2,q22_3,q23,q23a_1,q23a_2,q23a_3,q23a_4,q23a_5,q23a_6,q24_1,q24_2,q24_3,q24_4,q24_5,q24_6,q24_7,q25,q25a,q25b,q25ba,q25baa,q25bb
FCI5447,64.61300426,4,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,2,3,2,1,1,2,1, ,1,21000,18000,3000,0,3, , , , , ,1,0,0,1,0,2,2,1,3.61,0,3.61,2, , , , ,7,8,3.5,0,2, ,1,2,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,1,0,1,0,1,0,0,0,1,4,1,3,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1, , , , , 
FCI5454,65.23112238,4,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,2,2,2,1,1,1, , ,1,21000,19091,1909,0,2, , ,1,8,1, ,0,0,0,0,2,1,1,4,0,4,2, , , , ,8,8,3.5,0,2, ,2, ,1,1,1,1,0,1,1, ,0,0,0,0,0,0,0,0,2,3,3,3,2,2,3,1,3,1,0,0,0,0,0,0,0,1,1,1,2,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1, , , , , 
FCI5464,7.885462369,4,9,1,4,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,4,1,1,0,0,0,0,1,1,4,1,1,1,1, , ,2,19267,17000,2267,0,3, , , , , ,1,0,0,1,0,2,1,1,10,0,10,1,6,9,3,0, , , , ,1,1,3, ,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,3,2,3,3,2,2,3,1,3,0,1,0,0,1,1,0,0,1,4,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
FCI5482,64.61300426,4,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,5,3,1,0,0,0,0,1,2,3,1,1,1,2,1, ,2,25000,22727,2273,0,2, , ,1,4,1, ,0,0,0,0,2,1,1,2,30,2.5,2, , , , ,8,8,4,30,1,2,1,2,1,1,0,0,0,2,1, ,0,0,0,0,0,0,0,0,2,2,2,2,1,2,2,1,1,0,0,0,1,1,1,0,0,1,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,1,0,0,1, , , , , 
FCI5548,7.740350383,4,9,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,1,0,0,0,0,1,1,2,2,1,2,1, , ,1,21000,17000,3000,1000,2, , ,1,4,1, ,0,0,0,0,1, ,1,3.13,0,3.13,2, , , , ,6,9,2,0,2, ,2, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,2,1,2,1,2,2,1,1,1,0,0,1,0,0,0,0,0,1,1,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
FCI5555,65.23112238,4,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,2,2,1,1,1,1, , ,1,19835,17000,2835,0,2, , ,1,4,1, ,0,0,0,0,2,1,1,8,0,8,2, , , , ,8,8,2,0,1,1,3, ,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,2,0,0,0,0,1,0,1,0,1,1,0,0,0,1, , , , , 
FCI5561,65.23112238,4,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,1,0,0,0,0,1,2,2,2,1,1,1, , ,3,19835,17000,2835,0,3, , , , , ,1,0,0,1,0,2,1,2, , , ,1,7,8,3,0, , , , ,2, ,3, ,1,1,0,1,0,1,1, ,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,3,0,0,0,0,0,1,0,0,1,1,2, ,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1, , , , , 
FCI5564,66.45404088,4,9,2,4,2,1,1,0,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,2,4,1,1,1,1, , ,1,19000,17000,2000,0,3, , , , , ,1,1,0,0,0,1, ,2, , , ,2, , , , ,6,10,3,0,1,1,1,2,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,3,4,4,4,2,2,4,1,3,1,0,1,1,0,0,0,0,1,4,1,1,0,0,1,2,1,0,1,1,0,0,1,1,1,0,0,0,0,1, , , , , 
FCP1518,54.27284355,4,24,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,2,2,0,0,1,0,1,2,3,3,2,1,1, , ,1,19268,17000,2268,0,2, , ,2,3,1, ,0,0,0,0,1, ,1,3.61,0,3.61,2, , , , ,7,8,3,0,1,2,1,2,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,1,1,1,1,2,2,1,1,3,1,1,0,0,0,0,1,0,1,2,2, ,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
FCP1540,54.27284355,4,24,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,2,1,1,0,0,1,2,3,2,2,1,1, , ,1,19268,17000,2268,0,2, , ,1,8,1, ,0,0,0,0,2,1,1,0,20,.33,1,7,9,1,59, , , , ,1,4,3, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,2,2,2,3,2,2,2,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,2,0,1,1,1,0,0,0,0,1,1,1,0,0,1, , , , , 
FCP5622,48.61902911,4,24,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,2,2,2,2,1,1, , ,1,21007,17372,2835,800,2, , ,1,12,1, ,0,0,0,0,2,1,1,3.13,0,3.13,2, , , , ,8,6,1,30,1,1,1,2,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
FCP5650,54.27284355,4,24,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,2,3,2,2,1,1, , ,1,19000,17000,0,2000,1,4,12, , , , ,0,0,0,0,1, ,1,3,0,3,1,7,6,4,0, , , , ,1,1,2, ,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,2,0,1,0,1,0,0,0,1,1,0,1,0,0,1, , , , , 
FCT1554,2.717206432,4,30,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,1,3,2,3,1,1, , ,1,23800,23800,0,0,1,4,12, , , , ,0,0,0,0,1, ,1,2,0,2,2, , , , ,8,8,1,0,2, ,3, ,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,1,1,0,0,0,0,1,0,1,4,1,1,1,0,0,2,0,0,0,1,0,0,0,1,1,1,0,0,0,1, , , , , 
FCV1574,90.45531663,4,33,2,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,2,1,0,0,0,1,2,4,1,4,2,1, , ,1,20768,17000,2268,1500,3, , , , , ,1,1,1,1,0,2,1,1,3,0,3,1,7,9,3,0, , , , ,2, ,3, ,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,3,2,2,2,2,3,2,1,4,0,1,1,0,1,0,0,0,1,1,2, ,1,0,0,2,0,1,1,1,0,0,0,0,1,1,1,0,0,1, , , , , 
FCV1577,90.45531663,4,33,2,4,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,0,0,0,1,2,4,2,4,2,1, , ,3,18700,17000,1700,0,2, , ,1,12,1, ,0,0,0,0,1, ,1,3.61,0,3.61,2, , , , ,8,8,5,0,1,1,1,1,1,1,0,0,0,2,1, ,0,0,0,0,0,0,0,0,3,4,2,4,2,3,3,1,1,1,1,0,0,0,1,0,0,1,4,2, ,0,0,1,2,1,1,0,1,0,0,1,1,1,0,0,0,0,1, , , , , 
FCV1582,90.45531663,4,33,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,2,2,1,0,0,0,1,2,4,1,4,1,1, , ,1,19268,17000,2268,0,3, , , , , ,1,1,0,0,0,1, ,1,1,0,1,2, , , , ,7,7,4,30,1,2,1,3,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,3,3,2,2,2,2,2,1,1,0,1,0,0,0,0,0,0,1,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,1,0,1, , , , , 
FDI1602,57.91173586,5,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,1,0,0,0,0,1,2,3,1,1,2,1, , ,1,19268,17000,2268,0,3, , , , , ,1,1,0,1,0,2,1,1,2,0,2,2, , , , ,8,6,2,0,2, ,3, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,2,2,1,3,2,2,2,1,2,0,0,1,1,1,0,0,0,1,1,2, ,1,0,0,2,0,1,1,1,0,0,1,1,1,0,0,0,0,1, , , , , 
FDI1644,59.32217954,5,9,2,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,5,3,2,1,0,0,0,1,2,1,2,1,1,1, , ,1,23000,23000,0,0,1,4,8, , , , ,0,0,0,0,1, ,1,2.76,0,2.76,2, , , , ,9,9,1,0,2, ,1,3,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,2,3,3,4,3,3,3,1,1,1,1,0,0,0,1,0,0,1,4,2, ,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
FDI1674,57.91173586,5,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,3,2,1,1,1,0,1,2,3,1,1,1,1, , ,1,19000,17000,2000,0,3, , , , , ,1,1,0,0,0,1, ,1,3,0,3,1,8,7,3,30, , , , ,1,2,1,3,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,1,0,0,1,1,1,0,0,0,1,4,1,1,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,1,1, , , , , 
FDI1698,58.46574653,5,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,2,2,1,1,2,1, , ,1,22000,19500,500,2000,3, , , , , ,1,0,0,1,0,2,1,1,8,0,8,1,8,6,2,0, , , , ,1,1,2, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,2,3,3,3,2,3,2,1,3,1,1,0,0,0,1,0,0,1,1,2, ,0,0,1,2,1,0,1,1,0,0,1,0,1,0,1,0,0,1, , , , , 
FDI1708,57.91173586,5,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,2,3,1,1,1,3, ,1,3,18000,17000,1000,0,3, , , , , ,1,1,0,0,0,1, ,2, , , ,2, , , , ,7,8,2,0,1,1,1,3,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,1,1,1,2,1,2,2,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,2,1,0,1,1,0,0,1,1,0,1,0,0,0,1, , , , , 
FDI1732,57.91173586,5,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,1,0,0,0,0,1,2,3,2,1,2,1, , ,1,19000,17000,2000,0,3, , , , , ,1,1,0,0,0,1, ,2, , , ,2, , , , ,8,9,2,0,1,1,2, ,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,2,1,1,2,2,2,2,1,1,0,0,1,1,1,0,0,0,1,4,2, ,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
FDI1738,59.56183135,5,9,2,4,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,6,2,1,0,1,0,1,2,4,1,1,1,1, , ,2,19267,17000,2267,0,3, , , , , ,1,1,1,1,0,2,1,2, , , ,1,7,10,3,0, , , , ,2, ,3, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,3,2,2,2,2,3,2,1,1,0,0,0,0,0,1,0,1,1,4,2, ,0,0,1,2,1,1,1,0,0,0,1,0,1,0,1,0,0,1, , , , , 
FDI5710,58.46574653,5,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,2,2,1,1,1,1, , ,1,21000,18958,0,2042,1,4,9, , , , ,0,0,0,0,1, ,1,2.76,0,2.76,2, , , , ,7,8,2,0,1,1,2, ,1,1,0,0,0,2,1, ,0,0,0,0,0,0,0,0,3,3,3,3,2,2,3,1,3,0,1,0,0,1,0,0,0,1,1,2, ,0,0,1,2,1,0,0,1,0,0,1,1,1,0,0,0,0,1, , , , , 
FDI5739,57.91173586,5,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1,2,3,1,1,1,1, , ,1,19000,17000,2000,0,3, , , , , ,1,0,0,1,0,2,1,1,1,30,1.5,1,7.5,9,2,30, , , , ,1,1,2, ,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,1,1,0,0,1,1,1,0,0,0,1,4,2, ,0,0,1,2,1,0,0,1,0,0,1,1,1,0,0,0,0,1, , , , , 
FDI5894,58.46574653,5,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,1,2,2,2,1,1,1, , ,1,17000,17000,0,0,1,4,12, , , , ,0,0,0,0,1, ,1,2.76,0,2.76,1,8,10,2,0, , , , ,1,1,1,2,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,2,3,2,3,2,2,2,1,3,1,0,0,0,0,0,0,0,1,1,2, ,0,0,1,2,1,1,0,0,1,0,0,1,0,1,1,0,0,1, , , , , 
FDP1785,62.20199341,5,24,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1,1,0,0,1,2,2,1,2,1,1, , ,1,19267,17000,2267,0,3, , , , , ,1,0,0,1,0,2,1,1,2.76,0,2.76,1,8,9,3,0, , , , ,1,1,2, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,0,0,1,0,0,1,0,1,4,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1, , , , , 
FDP1794,69.43534493,5,24,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,2,3,2,2,1,1, , ,2,19268,17000,2268,0,2, , ,1,8,1, ,0,0,0,0,2,1,1,2.89,0,2.89,1,8,9,2,30, , , , ,1,1,2, ,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1, , , , , 
FDP1800,4.064351513,5,24,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,2,1,2,1,1, , ,1,19835,17000,2268,567,2, , ,1,10,1, ,0,0,0,0,1, ,1,2.76,0,2.76,1,7,6,3,0, , , , ,1,1,1,2,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,1,1,1,1,2,3,2,1,1,1,0,0,1,0,0,1,0,1,4,1,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1, , , , , 
FDP1807,69.43534493,5,24,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,2,0,1,0,0,1,2,3,1,2,1,1, , ,1,19835,17000,2835,0,3, , , , , ,1,0,1,1,0,2,1,1,2,30,2.5,1,7,8,3,0, , , , ,1,2,2, ,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,2,3,2,3,2,2,2,1,1,1,0,1,1,0,0,0,0,1,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
FDP1809,69.43534493,5,24,2,3,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,1,2,3,2,2,1,1, , ,3,19835,17000,2835,0,3, , , , , ,1,1,0,0,0,1, ,1,1,30,1.5,2, , , , ,7,9,1,0,1,2,1,3,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,2,2,3,3,2,3,2,1,1,1,0,1,1,0,0,0,0,1,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
FDT5934,2.844149197,5,30,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,2,1,1,0,0,1,2,4,1,3,1,1, , ,2,22000,20625,1375,0,2, , ,2,10,1, ,0,0,0,0,1, ,1,2,0,2,2, , , , ,8,6,3,0,1,1,2, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,1,1,1,0,1,0,0,0,1,0,1,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,1,0,1, , , , , 
FDV1818,58.39443358,5,33,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,1,0,0,1,2,3,2,4,2,1, , ,3,24000,22500,1500,0,2, , ,2,12,1, ,0,0,0,0,1, ,1,2.89,0,2.89,2, , , , ,6,8,3,0,1,1,3, ,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,3,1,1,0,0,0,1,0,0,1,2,2, ,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1, , , , , 
FDV1831,58.39443358,5,33,2,3,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,2,3,1,4,2,4, , ,1,19268,17000,2268,0,3, , , , , ,1,1,0,0,0,1, ,1,1,0,1,2, , , , ,8,9,3,0,1,1,1,2,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,4,2,4,3,3,2,3,1,3,1,1,0,0,0,1,0,0,1,4,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1, , 
FDV5947,69.66246462,5,33,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,3,1,0,0,0,0,1,2,4,1,4,1,1, , ,1,19268,17000,2268,0,3, , , , , ,1,1,0,0,0,1, ,2, , , ,2, , , , ,6,8,3,30,1,2,1,2,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,3,0,0,1,0,1,0,1,0,1,2,2, ,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
FEI1871,58.43531648,6,9,2,3,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,3,1,0,0,0,0,1,2,3,1,1,1,1, , ,2,19268,17000,2268,0,3, , , , , ,1,0,0,1,0,2,1,2, , , ,1,7,8,3,0, , , , ,1,1,3, ,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,2,1,2,2,2,2,2,1,3,0,1,0,0,0,1,1,0,1,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,1,0,0,0,1, , , , , 
FEI1876,58.43531648,6,9,2,3,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,4,3,2,1,1,0,0,1,2,3,1,1,1,4, , ,1,19593,17325,2268,0,3, , , , , ,1,1,0,0,0,1, ,2, , , ,1,8,8,3.5,0, , , , ,1,3,3, ,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,2,2,4,2,2,3,2,1,1,0,1,0,0,0,0,0,0,1,4,1,1,0,0,1,2,0,1,1,1,0,0,1,1,0,0,1,0,0,1, , , , , 
FEI1878,58.99433596,6,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,3,1,2,1,1,0,0,1,2,2,3,1,1,1, , ,1,19000,17273,1727,0,2, , ,1,10,1, ,0,0,0,0,1, ,1,10,0,10,2, , , , ,6,7,3,0,1,1,1,2,1,1,1,1,0,2,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,2, ,0,1,0,2,0,1,1,1,0,0,1,1,1,0,0,0,0,1, , , , , 
FEI1885,58.43531648,6,9,2,3,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,1,0,0,0,0,1,2,3,1,1,1,1, , ,2,19268,17000,2268,0,3, , , , , ,1,1,0,0,0,1, ,2, , , ,2, , , , ,8,9,3.5,0,1,1,3, ,1,1,1,0,0,1,1, ,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,1,1,0,1,1,0,0,0,0,1,1,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
FEI1889,58.43531648,6,9,2,3,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,3,3,2,1,0,0,0,1,2,3,2,1,1,1, , ,3,28800,21000,2800,5000,3, , , , , ,1,1,0,0,0,1, ,2, , , ,2, , , , ,6,8,2,30,1,2,1,2,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,1,1,1,0,1,0,0,0,0,1,1,2, ,1,0,0,2,1,1,0,1,0,0,1,1,0,0,0,1,0,1, , , , , 
FEI1893,58.43531648,6,9,2,3,1,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,3,1,0,0,0,0,1,2,3,1,1,1,1, , ,1,20701,17000,1701,2000,2, , ,1,12,1, ,0,0,0,0,1, ,1,5,0,5,2, , , , ,7,7,3,0,1,3,1,1,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,2,3,4,3,3,3,3,1,3,0,1,0,0,0,0,0,0,1,1,2, ,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1, , , , , 
FEI1896,58.99433596,6,9,2,2,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,3,2,0,1,0,0,1,2,2,1,1,1,1, , ,3,19835,17000,2835,0,3, , , , , ,1,0,0,1,0,2,1,2, , , ,2, , , , ,7,9,2,0,2, ,3, ,1,1,0,0,0,2,1, ,0,0,0,0,0,0,0,0,2,3,2,3,2,2,2,1,1,0,0,1,1,1,0,0,0,1,4,2, ,0,0,1,2,1,1,1,0,0,0,1,0,0,0,0,1,0,1, , , , , 
FEI1911,58.43531648,6,9,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,2,3,2,1,2,1, , ,1,19267,17000,2267,0,3, , , , , ,1,0,1,0,0,1, ,2, , , ,1,7,10,1,0, , , , ,2, ,3, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,2,3,3,3,3,1,1,1,1,1,1,0,0,0,1,0,0,1,4,1,1,1,0,0,2,0,0,1,1,1,0,0,1,0,0,0,0,0,1, , , , , 
FEI1922,58.43531648,6,9,2,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2,3,2,0,1,1,0,1,2,3,1,1,2,1, , ,1,27298,19463,2835,5000,2, , ,1,10,1, ,0,0,0,0,2,1,1,2.89,0,2.89,1,8,8,3,0, , , , ,1,4,3, ,1,1,1,0,0,2,1, ,0,0,0,0,0,0,0,0,2,4,4,2,2,3,2,1,1,1,0,1,1,0,0,0,0,1,1,1,2,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1, , , , , 
FEI1925,58.99433596,6,9,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,2,1,0,0,0,0,1,2,2,2,1,1,1, , ,1,17000,17000,0,0,1,4,10, , , , ,0,0,0,0,1, ,1,2.76,0,2.76,1,7,9,3,0, , , , ,1,2,1,2,1,1,1,1,0,1,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,3,0,0,0,1,0,1,1,0,1,2,1,1,1,0,0,2,0,1,1,1,0,0,1,0,1,0,1,0,0,1, , , , , 
FEI1945,59.85851199,6,9,2,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,2,1,2,1,1,1, , ,1,18700,17000,1700,0,2, , ,1,9,1, ,0,0,0,0,2,1,1,2.76,0,2.76,1,7,8,3.5,0, , , , ,1,1,2, ,1,1,0,0,0,1,1, ,0,0,0,0,0,0,0,0,3,2,2,3,2,3,2,1,1,1,0,0,0,0,1,0,0,1,2,2, ,1,0,0,2,0,1,0,1,0,0,0,0,1,1,1,0,0,2,2, , , , 
