no,w,nation,ind,industry,q1,q2,q3,q4,q5_1,q5_2,q5_3,q6,q6_o,q6_1,q7_1$,q7_2,q7_21$,q7_3,q7_3_1,q7_31$,q7_3_1b,q7_3_1bo,q8,q8_11,q8_12,q8_13,q8_14,q8_15,q8_16,q8_1o,q9_1,q9_2,q9_3,q9_4,q9_5,q9_6,q9_o,q10,q10_11,q10_12,q10_13,q10_14,q10_1o,t1,t2,t3,t4,q11,q11_1,q11_2,q11_3,q11_4,q11_5,q11_6,q11_7,q11_8,q11_1o,q12,q12_1,q12_2,q12_3,q12_4,q12_5,q12_6,q12_7,q12_8,q12_9,q12_10,q12_11,q12_12,q12_1o,q13_1,q13_2,q13_3,q14_1,q14_2,q14_3,q14_4,q15,q15_1,q15_2,q15_3,q15_4,q15_5,q15_6,q15_1o,q16,q16_1,q16_2,q16_3,q16_4,q16_5,q16_1o,q17,q17_1,q17_nt,q18,q19,q19_1,q19_2,q19_3,q19_4,q19_5,q19_6,q19_7,q19_8,q19_1o,q20,q20_1,q20_2,q20_3,q21,q21_1,q21_2,q21_3,q23,q22_1,q22_2,q22_1_a,q22_2_a,q22_2_b,q22_2_c,q24,q24_1,q24_2,q24_3,q24_4,q24_5,q24_6,q24_7,q24_8,q24_1o,q25_1,q25_2,q25_3,q25_4,q25_5,q25_6,q25_7,q25_8,q25_9,q25_10,q25_11,q25_12,q25_13,q25_14,q25o
1309,120,2,1,18,1,3,2,2,1,3,0,1, ,2,47798,1, ,1,2,15933,1, ,1,0,0,0,0,0,0, ,1,0,0,4,0,0, ,2,0,0,3,0, , , ,5.32, ,2,1,2,0,0,0,0,0,0, ,1,1,0,0,0,0,0,0,0,0,0,0,0, ,22,12,42,26302,19530,5292,1480,1, , , , , , , ,1, , , , , , ,1,2,2500,1,2, , , , , , , , , ,1,0,2,0,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,6,0,0,0,0,0,0,0,0, 
1310,113,2,1,19,2,3,2,3,1,2,2,1, ,2,82849,2,63730,1,2,82849,1, ,2,1,0,0,4,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,2,1,2,0,0,0,0,0,0, ,2, , , , , , , , , , , , , ,20,10,30,24659,19530,3660,1469,2,1,2,0,0,0,0, ,2,0,0,3,0,0, ,2,2,2500,1,1,0,0,0,0,0,6,0,0, ,1,1,0,0,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,12,13,0, 
1311,111,2,1,19,2,3,1,3,1,3,0,1, ,2,45886,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,2,0,2,3,0, , ,5.2,5.32, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,24,8,40,28325,19049,4276,5000,2,0,2,0,0,0,0, ,2,0,0,3,0,0, ,1,2,2500,1,1,1,2,0,4,5,6,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,3,4,0,6,0,8,9,0,0,12,13,0, 
1312,111,2,1,19,2,3,2,3,1,1,8,1, ,2,50984,2,36963,1,2,50984,1, ,1,0,0,0,0,0,0, ,1,2,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,23,10,46,29367,19047,9520,800,1, , , , , , , ,1, , , , , , ,1,2,1300,3,1,1,2,3,4,5,6,7,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,3,0,0,0,0,8,9,0,0,0,13,0, 
1313,112,2,1,19,2,3,2,3,4,4,0,1, ,2,54171,1, ,1,2,54171,1, ,2,1,0,0,4,0,0, ,1,0,0,0,0,0, ,2,0,2,0,0, , ,3, , ,2,1,0,0,0,0,0,7,0, ,1,0,0,3,0,0,0,7,0,0,10,0,0, ,24,8,94,30810,19530,11280,0,2,1,2,0,0,0,0, ,2,1,0,0,0,0, ,1,2,4000,1,1,0,0,0,0,5,6,0,0, ,1,1,0,0,1,1,0,0,5,1,1,4,4,4,5,2,0,0,0,0,0,0,7,8,上級主管,0,0,0,0,0,6,0,8,0,0,0,0,0,0, 
1314,117,2,1,19,1,3,2,2,1,1,6,1, ,2,80000,2,63411,1,2,63730,1, ,2,1,0,0,4,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,2,1,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,7,8,0,0,0,0, ,20,9,73.5,29917.5,19047,9334.5,1536,2,1,2,0,0,0,0, ,2,1,0,3,0,0, ,1,2,4000,3,1,1,2,0,0,0,0,0,0, ,1,1,0,0,1,1,0,0,2,1,1,2,2,2,2,1, , , , , , , , , ,0,2,0,0,0,6,0,8,0,0,0,12,13,0, 
1315,117,2,1,19,1,3,2,2,2,5,8,1, ,2,75201,2,63411,1,2,70103,1, ,2,1,0,0,4,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,20,10,61.5,28241,19047,7749,1445,2,1,0,0,0,0,0, ,2,0,0,3,0,0, ,1,2,4000,3,1,1,2,0,0,0,0,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,7,8,0,0,0,0,13,0, 
1316,112,2,1,19,2,3,2,3,1,3,0,1, ,2,50331.04287,1, ,1,2,47716.32733,1, ,2,1,0,0,4,0,0, ,1,0,0,4,0,0, ,1, , , , , , , , , ,2,1,2,3,4,0,6,7,0, ,1,1,2,3,4,0,6,7,8,0,0,0,0, ,20,9,41.5,25882,19047,5395,1440,2,1,2,0,0,0,0, ,2,0,0,3,0,0, ,1,2,4000,1,1,0,0,0,4,0,0,0,0, ,2, , , , , , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,12,13,0, 
1317,112,2,1,19,2,3,3,2,3,3,0,1, ,2,44611,1, ,2, , , , ,2,0,0,0,4,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,1,0,0,0,0,0,0,7,0,0,0,0,0, ,20,10,50,26320,19710,5650,960,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,1,2,3,0,0,0,0,0, ,1,0,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,4,0,6,0,0,9,0,0,12,0,0, 
1318,116,2,1,19,1,3,2,2,1,1,0,1, ,2,120000,2,60862,1,2,60862,1, ,2,1,0,0,4,0,0, ,1,0,0,0,0,0, ,1, , , , , , , , , ,2,1,0,0,0,0,0,0,0, ,1,0,2,0,0,5,0,0,0,0,10,0,0, ,20,9,73.5,29180,19047,8673,1460,2,1,2,0,0,0,0, ,2,0,0,0,4,0, ,1,2,4000,3,2, , , , , , , , , ,2, , , , , , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,0,13,0, 
1319,111,2,1,19,2,3,2,3,2,3,0,1, ,2,63730,2,28679,1,2,63730,1, ,1,0,0,0,0,0,0, ,1,2,3,4,5,0, ,2,1,2,3,0, ,34.99,5.2,5.32, ,1, , , , , , , , , ,1,0,0,0,0,0,0,7,8,0,0,0,0, ,25,8,16,21987,19047,1940,1000,1, , , , , , , ,1, , , , , , ,1,2,1300,3,1,1,2,3,4,5,6,7,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,2,3,4,0,0,0,8,9,10,0,0,0,0, 
1320,112,2,1,19,2,3,2,2,2,3,0,1, ,2,50984,1, ,1,2,50984,1, ,1,0,0,0,0,0,0, ,0,0,0,4,0,0, ,1, , , , , , , , , ,1, , , , , , , , , ,1,0,0,0,4,0,0,7,0,0,10,0,0, ,24,10,0,21006,19530,0,1476,1, , , , , , , ,1, , , , , , ,1,2,4000,1,1,0,2,0,0,0,0,0,0, ,1,1,0,0,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,7,8,0,0,0,12,0,0, 
1321,116,2,1,19,1,3,2,3,2,6,0,1, ,2,63730,2,60225,1,2,63730,1, ,1,0,0,0,0,0,0, ,1,0,0,4,5,0, ,2,0,2,3,0, , ,5.2,5.32, ,1, , , , , , , , , ,1,0,0,0,4,0,0,0,0,0,0,0,0, ,28,8,84,31740,19530,10752,1458,1, , , , , , , ,2,1,0,3,4,0, ,1,2,4000,1,1,0,2,3,0,0,6,0,0, ,1,0,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,1,0,0,4,5,0,7,8,9,10,11,12,13,0, 
1322,117,2,1,19,1,3,2,3,1,1,8,1, ,2,44611,2,41425,1,2,44611,1, ,1,0,0,0,0,0,0, ,1,2,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,21,8,46,27289,19047,6348,1894,1, , , , , , , ,1, , , , , , ,1,2,1000,1,1,0,2,0,0,0,0,0,0, ,1,1,0,3,1,0,0,3,2, , , , , , ,1, , , , , , , , , ,0,2,3,4,0,6,0,0,0,0,0,0,0,0, 
1323,111,2,1,19,2,3,2,2,1,3,0,1, ,2,63730,2,44611,1,2,63730,1, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,1,1,0,0,0,0,0,0,0,0,0,0,0, ,22,8,42,30569,19047,10081,1441,1, , , , , , , ,1, , , , , , ,1,1, ,1,1,1,2,3,0,5,0,7,0, ,1,1,2,3,1,1,2,3,2,1,0,2, , , ,1, , , , , , , , , ,0,0,0,4,0,6,0,0,0,0,0,12,13,0, 
1324,117,2,1,19,1,3,2,3,1,3,0,1, ,2,42000,2,35000,1,2,42000,1, ,2,1,0,0,0,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,2,1,0,0,0,0,0,0,0, ,1,1,0,0,0,0,0,0,0,0,0,0,0, ,20,10,81,32109,19047,11600,1462,2,1,2,0,0,0,0, ,2,0,0,3,0,0, ,1,2,4000,3,1,1,2,0,0,0,0,0,0, ,1,1,0,0,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,6,0,8,0,0,0,12,0,0, 
1325,111,2,1,19,2,3,2,1,1,3,0,1, ,2,9999998,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,2,0,2,3,0, , ,5.2,5.32, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,24,8,0,21047,19047,0,2000,2,0,2,0,0,0,0, ,2,0,0,3,0,0, ,1,2,2500,1,1,0,2,3,0,0,0,7,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,3,4,0,6,7,8,9,0,11,12,13,0, 
1326,112,2,1,19,2,3,2,3,1,3,0,1, ,2,86482,1, ,1,2,82849,1, ,1,0,0,0,0,0,0, ,1,0,3,0,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,21,8,0,19047,19047,0,0,1, , , , , , , ,1, , , , , , ,2,2,500,3,1,0,2,0,0,0,0,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,6,0,0,9,0,0,0,13,0, 
1327,116,2,1,19,1,3,1,4,1,3,0,1, ,2,70103,2,63411,1,2,63730,1, ,2,1,0,0,4,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,1,0,2,0,4,0,0,0,8,0,0,0,0, ,20,9,70,27867,19047,8820,0,2,1,2,0,0,0,0, ,2,1,0,3,0,0, ,1,2,4000,3,1,1,2,0,0,0,0,0,0, ,1,1,0,0,1,1,0,0,2,1,1,1,1,1,2,1, , , , , , , , , ,0,0,0,0,0,6,0,0,0,0,0,0,13,0, 
1328,111,2,1,19,2,3,1,3,1,3,0,1, ,2,45886,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,0,0,4,5,0, ,2,0,2,3,0, , ,5.2,5.32, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,24,8,45,26004,19047,4957,2000,2,0,2,0,0,0,0, ,2,0,0,3,0,0, ,1,2,2500,1,1,0,0,3,4,5,0,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,2,3,0,0,6,0,8,9,0,0,12,13,0, 
1329,112,2,1,19,2,3,1,3,1,3,0,1, ,2,43974,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,0,3,0,5,0, ,2,1,2,3,0, ,34.99,5.2,5.32, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,25,8,40,26206,19530,5120,1556,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,0,0,0,0,0,6,0,0, ,1,0,0,3,1,0,0,3,3, , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,0,0,0, 
1330,116,2,1,19,1,3,2,3,1,3,0,1, ,2,70103,1, ,1,2,70103,1, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,2,1,2,3,0, ,34.99,5.2,5.32, ,2,1,0,0,0,0,0,0,0, ,2, , , , , , , , , , , , , ,20,8,60,26767,19047,7320,400,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,1,2,3,0,0,6,0,0, ,1,0,0,3,1,0,0,3,3, , , , , , ,1, , , , , , , , , ,0,2,3,4,5,6,7,8,0,10,0,12,13,0, 
1331,116,2,1,19,1,3,2,3,1,3,0,1, ,2,63730,1, ,1,2,63730,1, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,2,1,2,3,0, ,34.99,5.2,5.32, ,2,1,2,0,0,0,0,0,0, ,2, , , , , , , , , , , , , ,25,8,84,30512,19530,9492,1490,1, , , , , , , ,1, , , , , , ,1,2,4000,1,1,1,0,3,0,5,6,0,0, ,1,1,2,0,2, , , , , , , , , , ,1, , , , , , , , , ,0,2,3,4,5,6,7,8,9,10,11,12,13,0, 
1332,112,2,1,19,2,3,2,3,1,3,0,1, ,2,44611,1, ,1,2,44611,1, ,1,0,0,0,0,0,0, ,1,0,0,0,0,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,21,8,0,20488,19047,0,1441,2,1,0,0,0,0,0, ,2,0,0,3,0,0, ,1,2,2500,1,1,0,0,0,0,0,6,0,0, ,1,1,2,3,1,0,2,0,1, , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,8,9,0,0,0,0,0, 
1333,111,2,1,19,2,3,2,2,2,6,0,1, ,2,54171,1, ,1,2,54171,3, ,2,0,0,0,0,5,0, ,1,0,0,4,5,0, ,1, , , , , , , , , ,2,1,0,0,0,0,0,0,0, ,1,1,0,0,0,0,0,0,0,0,0,0,0, ,24,12,94,26666,17247,7619,1800,2,0,2,0,0,0,0, ,2,0,0,0,0,5,合約,1,2,4000,1,2, , , , , , , , , ,1,1,2,0,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,6,0,0,0,0,0,0,13,0, 
1334,117,2,1,19,1,3,3,3,3,3,0,1, ,2,52896,1, ,1,2,6373,1, ,1,0,0,0,0,0,0, ,0,0,0,4,0,0, ,1, , , , , , , , , ,1, , , , , , , , , ,1,1,0,0,0,0,0,0,0,0,0,0,0, ,24,10,0,21007,19530,0,1477,1, , , , , , , ,1, , , , , , ,1,2,4000,1,1,0,2,0,0,5,0,0,0, ,1,1,0,0,2, , , , , , , , , , ,1, , , , , , , , , ,1,2,0,0,0,6,0,0,0,0,0,0,0,0, 
1335,112,2,1,19,2,3,3,3,1,3,0,1, ,2,45886,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,2,0,4,5,0, ,2,0,2,3,0, , ,5.2,5.32, ,1, , , , , , , , , ,1,1,0,0,0,0,0,0,8,0,0,0,0, ,24,8,42,25132,19047,4542,1543,2,0,2,0,0,0,0, ,2,0,0,3,0,0, ,1,2,2500,1,1,0,2,3,4,5,0,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,3,4,0,0,7,8,9,0,11,12,0,0, 
1336,112,2,1,19,2,3,2,3,1,3,0,1, ,2,43974,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,0,3,0,5,0, ,2,1,2,3,0, ,34.99,5.2,5.32, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,25,8,40,25449,19530,4440,1479,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,0,0,0,0,0,6,0,0, ,1,0,0,3,1,0,0,3,3, , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,0,0,0, 
1337,113,2,1,19,2,3,2,3,1,3,0,1, ,2,63730,1, ,1,2,63730,1, ,1,0,0,0,0,0,0, ,1,0,0,4,5,0, ,2,1,2,0,0, ,34.99,5.2, , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,24,8,38,25075,19047,4028,2000,2,0,2,0,0,0,0, ,2,0,0,3,0,0, ,1,2,2500,1,1,0,2,3,0,5,6,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,3,4,0,6,7,8,9,0,11,12,0,0, 
1338,117,2,1,19,1,3,2,3,2,3,0,1, ,2,60544,1, ,1,2,47716.32733,1, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,2,1,2,3,0, ,34.99,5.2,5.32, ,1, , , , , , , , , ,1,0,0,0,4,0,0,0,0,0,0,0,0, ,27,8,94,32070,19530,12000,540,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,1,2,3,0,0,6,0,0, ,1,0,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,2,3,4,5,6,7,8,9,10,11,12,13,0, 
1339,113,2,1,19,2,3,3,3,1,3,0,1, ,2,44611,2,28679,1,2,44611,1, ,1,0,0,0,0,0,0, ,1,2,3,4,5,0, ,2,1,2,3,0, ,34.99,5.2,5.32, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,23,8,0,21547,19047,0,2500,1, , , , , , , ,1, , , , , , ,1,2,2000,1,1,1,2,3,4,5,6,7,0, ,1,1,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,2,3,0,0,0,0,8,9,0,0,0,13,0, 
1340,111,2,1,19,2,3,1,3,1,3,0,1, ,2,43974,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,0,3,0,5,0, ,2,1,2,3,0, ,34.99,5.2,5.32, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,25,8,40,26206,19530,5120,1556,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,0,0,0,0,0,6,0,0, ,1,0,0,3,1,0,0,3,3, , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,0,0,0, 
1341,113,2,1,19,2,3,1,3,1,3,0,1, ,2,43974,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,0,3,0,5,0, ,2,1,2,3,0, ,34.99,5.2,5.32, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,25,8,40,26284,19530,5200,1554,1, , , , , , , ,1, , , , , , ,1,2,2500,1,1,0,0,0,0,0,6,0,0, ,1,0,0,3,1,0,0,3,3, , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,0,0,0, 
1342,117,2,1,19,1,3,2,3,1,1,3,1, ,2,44611,2,31864,1,2,44611,1, ,1,0,0,0,0,0,0, ,1,2,3,4,5,0, ,2,1,2,3,0, ,34.99,5.2,5.32, ,1, , , , , , , , , ,1,1,0,0,0,0,0,0,0,0,0,0,0, ,23,10,46,25063,19043,5520,500,1, , , , , , , ,1, , , , , , ,1,2,1300,3,1,1,2,3,4,5,6,7,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,3,4,5,0,0,8,0,0,0,0,13,0, 
1343,116,2,1,19,1,3,2,3,1,3,0,1, ,2,54171,1, ,1,2,54171,1, ,2,1,0,0,4,0,0, ,1,0,3,4,5,0, ,2,0,2,3,0, , ,5.2,5.32, ,1, , , , , , , , , ,1,0,0,0,0,0,0,7,0,0,10,0,0, ,20,12,42,25954,19530,4998,1426,2,1,0,0,4,0,0, ,2,1,0,3,0,0, ,1,2,4000,1,2, , , , , , , , , ,1,1,2,0,1,1,2,0,1,1,1,2,3,3,2,2,0,0,0,0,0,6,7,0, ,0,0,0,0,0,6,0,8,0,0,0,0,13,0, 
1344,117,2,1,19,1,3,2,3,2,3,0,3,當地選工,1,17207,2,0,2, , , , ,1,0,0,0,0,0,0, ,1,0,0,0,0,0, ,1, , , , , , , , , ,2,0,2,0,0,0,0,0,0, ,2, , , , , , , , , , , , , ,20,9,51,27127,19047,6528,1552,2,1,0,0,0,0,0, ,1, , , , , , ,1,2,4000,3,2, , , , , , , , , ,2, , , , , , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,13,0, 
1345,116,2,1,19,1,3,2,3,1,1,1,1, ,2,76476,2,60862,1,2,63730,2, ,2,0,0,0,4,0,0, ,1,0,0,0,0,0, ,1, , , , , , , , , ,2,1,2,0,4,0,0,0,0, ,1,0,2,3,4,5,6,7,0,0,0,0,0, ,20,9,21,24718,19047,4203,1468,2,1,2,0,0,0,0, ,2,0,0,3,0,0, ,1,2,4000,3,2, , , , , , , , , ,1,1,0,0,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,6,0,8,9,0,0,12,13,0, 
1346,117,2,1,19,1,3,2,3,2,3,0,1, ,2,35052,1, ,1,2,35052,1, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,2,1,2,3,0, ,34.99,5.2,5.32, ,2,1,0,0,0,0,0,0,0, ,2, , , , , , , , , , , , , ,25,8,84,32064,19530,11004,1530,1, , , , , , , ,1, , , , , , ,1,2,4000,1,1,1,2,3,0,5,0,0,0, ,1,0,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,2,3,4,5,6,7,8,9,10,11,12,13,0, 
1347,112,2,1,19,2,3,3,3,2,3,0,1, ,2,82849,2,54171,1,2,82849,1, ,2,1,0,0,4,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,2,0,0,0,0,0,0,7,0, ,1,0,0,3,0,5,0,0,0,0,0,0,0, ,24,12,94,27932,17247,8885,1800,2,1,2,0,0,0,0, ,2,0,0,3,0,0, ,1,2,4000,1,2, , , , , , , , , ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,0,9,0,0,12,13,0, 
1348,111,2,1,19,2,3,2,3,2,5,0,1, ,2,57357,2,34414,1,2,57357,1, ,1,0,0,0,0,0,0, ,1,2,3,4,5,0, ,2,1,2,3,0, ,34.99,5.2,5.32, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,22,8,0,21047,19047,0,2000,1, , , , , , , ,1, , , , , , ,1,2,1300,3,1,1,2,3,4,5,6,7,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,3,0,0,0,0,8,0,0,0,0,13,0, 
1349,111,2,1,19,2,3,2,2,1,1,8,1, ,2,60000,2,45886,1,2,60000,1, ,1,0,0,0,0,0,0, ,1,0,0,4,5,0, ,2,0,2,3,0, , ,5.2,5.32, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,24,8,20,23167,19047,2120,2000,2,0,2,0,0,0,0, ,2,0,0,3,0,0, ,1,2,2500,1,1,0,0,3,4,5,0,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,2,3,0,0,6,0,8,0,0,0,12,13,0, 
1350,111,2,1,19,2,3,2,3,2,3,0,1, ,2,57357,1, ,1,2,50984,1, ,1,0,0,0,0,0,0, ,0,0,0,4,0,0, ,1, , , , , , , , , ,1, , , , , , , , , ,1,1,0,0,4,0,0,7,0,0,0,0,0, ,21,12,10,20930,19530,1400,0,2,1,2,0,4,0,0, ,2,0,0,3,0,0, ,1,1, ,1,1,0,0,0,0,0,6,0,0, ,2, , , , , , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,0,8,0,0,0,12,13,0, 
1351,112,2,1,19,2,3,2,2,2,5,10,1, ,2,86036,1, ,1,2,50984,1, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,21,8,0,19047,19047,0,0,1, , , , , , , ,1, , , , , , ,2,2,500,3,1,0,2,0,0,0,0,0,0, ,1,1,0,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,6,0,8,9,0,0,0,13,0, 
1352,111,2,1,19,2,3,2,3,1,3,0,1, ,2,101968,1, ,1,2,47716.32733,1, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,2,1,2,0,0, ,34.99,5.2, , ,2,1,0,0,0,0,0,0,0, ,2, , , , , , , , , , , , , ,24,8,32,24439,19047,3392,2000,2,0,2,0,0,0,0, ,2,0,0,3,0,0, ,1,2,2500,1,1,0,2,3,0,0,6,7,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,3,4,0,6,7,8,9,0,0,12,0,0, 
1353,117,2,1,19,1,3,2,2,1,3,0,1, ,2,69784,1, ,1,2,35052,1, ,2,1,0,0,4,0,0, ,1,0,3,4,5,0, ,2,1,0,0,0, ,34.99, , , ,1, , , , , , , , , ,1,0,2,0,0,0,0,0,0,0,0,0,0, ,20,9,51,24912,19047,5865,0,2,1,0,0,0,0,0, ,2,0,0,3,0,0, ,1,2,4000,3,1,1,2,0,0,0,0,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,0,0,0,7,8,0,0,0,0,13,0, 
1354,113,2,1,19,2,3,2,4,2,3,0,1, ,2,63730,2,50984,1,2,63730,1, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,1,0,0,0,0,0,0,0,8,0,0,0,0, ,21,8,72,27935,19047,8888,0,1, , , , , , , ,1, , , , , , ,1,1, ,1,1,1,2,3,0,5,0,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,4,0,6,0,0,9,0,0,12,13,14,教會
1355,112,2,1,19,2,3,2,4,1,3,0,1, ,2,57357,2,31865,1,2,57357,1, ,1,0,0,0,0,0,0, ,1,0,3,4,5,0, ,1, , , , , , , , , ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,24,8,20,22636,19047,2110,1479,1, , , , , , , ,1, , , , , , ,1,2,2500,3,1,0,0,0,4,5,6,7,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,0,0,4,0,0,0,0,0,0,0,0,0,0, 
1356,117,2,1,19,1,3,2,2,1,2,11,1, ,2,82849,2,70103,1,2,63730,1, ,2,1,0,0,4,0,0, ,1,0,0,4,0,0, ,1, , , , , , , , , ,2,1,0,0,0,0,0,0,0, ,1,0,2,0,4,0,0,7,0,0,0,0,0, ,20,9,51,27020,19047,6426,1547,2,1,2,0,0,0,0, ,2,0,0,3,0,0, ,1,2,4000,3,1,0,2,0,0,5,6,0,0, ,1,1,2,3,1,1,0,0,2,1,0,1, , , ,1, , , , , , , , , ,0,2,0,4,0,6,0,8,9,0,0,12,13,0, 
1357,112,2,1,19,2,3,2,2,3,3,0,1, ,2,45886,1, ,2, , , , ,1,0,0,0,0,0,0, ,1,0,0,4,5,0, ,2,0,2,3,0, , ,5.2,5.32, ,1, , , , , , , , , ,2, , , , , , , , , , , , , ,24,8,29,24121,19047,3074,2000,2,0,2,0,0,0,0, ,2,0,0,3,0,0, ,1,2,2500,1,1,0,0,3,4,5,0,0,0, ,1,1,2,3,2, , , , , , , , , , ,1, , , , , , , , , ,0,2,3,0,0,6,0,8,0,0,0,12,13,0, 
