no,w1,w2,w3,industry,scale,q1,q1b_1,q1b_2,q1b_3,q1b_4,q1b_5,q1b_6,q1b_7,q1b_8,q1b_9,q1b_10,q1b_11,q2,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2a_8,q2a_9,q2b,q2bb_1,q2bb_2,q2bb_3,q2bb_4,q2bb_5,q2bb_6,q2bb_7,q2bb_8,q2bb_9,q2bb_10,q3,q3a,q4,q4b_1,q4b_2,q4b_3,q4b_4,q4b_5,q4b_6,q4b_7,q4b_8,q4b_9,q4b_10,q5,q5a,q5b,q5c_1,q5c_2,q5c_3,q5c_4,q5c_5,q5c_6,q5c_7,q5c_8,q5c_9,q5d,q5e_1,q5e_2,q5e_3,q5e_4,q5e_5,q5e_6,q5e_7,q5e_8,q5e_9,q6b,q6,q6a_2,q6a_3,q6a_4,q6a_5,q7a,q7b_1,q7b_2,q7c_1,q7c_2,q7c_3,q8a0,q8a,q8b0,q8b,q8c0,q8c,q9,q9a,q10,q11,q11a,q11b,q12_1,q12_2,q12_3,q12_4,q12_5,q12_6,q13,q14_1,q14_2,q14_3,q14_4,q14_5,q14_6,q14_7,q15,q15a,q15b_1,q15b_2,q15b_3,q15b_4,q15b_5,q16,q16a_1,q16a_2,q16a_3,q16a_4,q16a_5,q16a_6,q16a_7,q16a_8,q16a_9,q17a,q17b,q17c,q17d,q17e,q17f,q18,q18a,q19_1,q19_2,q19_3,q20,q20a_1,q20a_2,q20a_3,q20a_4,q20a_5,q20a_6,q21_1,q21_2,q21_3,q21_4,q21_5,q21_6,q21_7,q21_8,q22,q22a,q22aa,q22aaa,q22ab,q23,q23a_1,q23a_2,q23a_3,q23a_4,q23a_5,q23a_6,q23a_7,q23a_8,q23a_9,q23a_10
124612,7.42222222222222,8.68221574344023,173.644314868805,17,3,2,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,1,0,0,0,1,2,2,0,1,0,0,1,0,0,0,0, ,0,0,0,0,0,0,0,0,0,89,20,0,20,0,0,9,168,42,25250,5921,0,2, ,1,2,2, ,2,1,1,1,1, ,0,0,1,0,0,0,2,1,1,1,0,0,0,0,1,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,2,3,3,2,1,1,1,0,0,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,2,3, , , ,2,1,0,0,0,0,0,1,0,0,0
124800,9.28828828828829,11.6620498614958,34.9861495844874,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0,11,3,3,0,0,0,9,168,0,25250,0,4000,1,7,2, ,2, ,1, ,1,1,2,2200,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , ,1,0,0,0,0,0,0,0,0,0,0
124823,9.17904761904762,11.2284087314141,22.4568174628282,17,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0,12,2,2,0,0,0,9,168,0,25250,0,0,2, ,2, ,2, ,2,1,1,1,1, ,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1, , ,1,0,0,0,0,0,0,0,0,0,0
124833,1.9,2.96700879765396,415.381231671554,25,5,2,0,1,0,1,0,0,0,0,1,0,0,2,0,0,0,1,1,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,3,3,1,1,1,0,0,1,0,1,0,0,0,1,1,2,1,0,0,0,1,0,1,0,0, ,0,0,0,0,0,0,0,0,0,840,140,0,140,0,0,9,168,35,27126,5528,2000,2, ,1,4,1,6,2,1,1,1,2,1200,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,3,1,1,1,1,0,2,0,0,1,0,0,0,1,1,0,2,3,3,3,3,3,1,2,1,0,0,2,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1, , , , ,2,1,1,0,0,0,0,1,0,0,0
124882,9.17904761904762,11.2284087314141,11.2284087314141,17,1,2,1,1,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,4,4,1,0,0,0,0,0,1,0,1,1,0,2, , ,0,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0,12,1,1,0,0,0,9,168,30,25250,4618,0,2, ,2, ,2, ,1, ,3,1,1, ,1,0,0,0,0,0,1,1,1,0,0,0,0,0,2, ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,2,3,2,2,2, ,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1, , , , ,2,0,0,0,0,0,1,0,1,1,0
124936,10.6792452830189,12.2546583850932,36.7639751552796,23,1,2,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,1,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0, ,0,0,0,0,0,0,0,0,0,11,3,1,2,0,0,9,168,5,25250,705,0,2, ,1,3,2, ,3,1,1,1,2,2750,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,2,0,0,0,0,1,0,0,0,0,1,2,2,2,2,2,1,1,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1, , , , ,2,0,0,0,0,0,0,1,0,0,0
125015,9.19889502762431,11.138592750533,22.277185501066,1,1,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,3,1,1,1,0,1,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,1,0,0,22,2,2,0,0,0,9,168,39,25250,5460,0,1,2,1,5,1,2,1, ,2,1,1, ,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,3,2,2,2,2, ,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,3, , , ,2,1,0,0,0,1,0,0,0,0,0
125088,9.17904761904762,11.2284087314141,22.4568174628282,17,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,1, ,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,9,168,32,25250,5352,0,1,4,1,7,2, ,1, ,2,1,1, ,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2, ,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1, , , , ,2,1,0,0,0,0,0,0,0,0,0
125122,12.3181818181818,12.7843137254902,191.764705882353,23,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,1,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,36,15,15,0,0,0,9,168,46,25250,6900,0,2, ,1,7,2, ,3,1,1,1,2,2500,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,1,1,1,1,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,2,1,2, , ,1,0,0,0,0,0,0,0,0,0,0
125222,9.17904761904762,11.2284087314141,22.4568174628282,17,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,2, , ,0,0,0,0,0,0,0,0,0, ,1,0,0,0,0,0,0,0,0,10,2,2,0,0,0,9,168,0,30000,0,0,2, ,1,7,2, ,3,1,2,3,1, ,0,0,0,0,0,0, ,1,0,0,0,0,0,0,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,2, ,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1, , , , ,1,0,0,0,0,0,0,0,0,0,0
