no,w1,w2,w3,t1,t2,t3,s1,s1b_1,s1b_2,s1b_3,s1b_4,s1b_5,s1b_6,s1b_7,s1b_8,s1b_9,s2,s2a_1,s2a_2,s2a_3,s2a_4,s2a_5,s2a_6,s2a_7,s2a_8,s2a_9,s2a_10,s2a_11,s2a_12,s2a_13,s2b,s2bb_1,s2bb_2,s2bb_3,s2bb_4,s2bb_5,s2bb_6,s2bb_7,s2bb_8,s2bb_9,s2bb_10,s2bb_11,s3,s3a,s4,s4b_1,s4b_2,s4b_3,s4b_4,s4b_5,s4b_6,s4b_7,s4b_8,s4b_9,s4b_10,s4b_11,s4b_12,s5,s5a,s5b,s5c_1,s5c_2,s5c_3,s5c_4,s5c_5,s5c_6,s5c_7,s5c_8,s5d,s6,s6a_2_1,s6a_3_1,s6a_4_1,s6a_5_1,s6b,s6s6b,s7a_1_0,s7a_1_1,s7a_2_1,s7a_3_1,s7c,s7b_1_1,s7b_2_1,s7b_1_0,n8,n8a0,n8a,n8b0,n8b,n8c0,n8c,n9,n9a,n10,n11,n11a1,n11b1,n11a2,n11b2,n11a3,n11b3,n12_1,n12_2,n12_3,n12_4,n12_5,n12_6,n13,n14,n14b_1,n14b_2,n14b_3,n14b_4,n15,n15b_1,n15b_2,n15b_3,n15b_4,n15b_5,n15b_6,n15b_7,n16,n16a,n16b_1,n16b_2,n16b_3,n16b_4,n16b_5,n17a_1,n17a_2,n17b_1,n17b_2,n17c_1,n17c_2,n17d_1,n17d_2,n17e_1,n17e_2,n17f_1,n17f_2,n17g_1,n17g_2,n17h_1,n17h_2,n18a,n18b,n18c,n18d,n18e,n18f,n19,n19a,n20_1,n20_2,n20_3,n21,n21a_1,n21a_2,n21a_3,n21a_4,n21a_5,n21a_6,n21a_7,n21a_8,q22_1,q22_2,q22_3,q22_4,q22_5,q22_6,q22_7,q22_8
A1335118,1.75,2.11377245508982,69.7544910179641,1,13,3,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1, , , , , , , , , ,33,0,33,0,0,89,122,26880,23800,3080,0,9,168,21,189,2,1, ,2,4,1, ,2,1,1,1,2,1000, , , , ,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,3,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,1,2,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0
A1335119,1.75,2.11377245508982,4.22754491017964,1,13,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,1,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,2,2,0,0,0,180,182,23800,23800,0,0,9,172,0,172,2,2,3,2,3,1, ,2,1,1,1,1, , , , , ,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,3,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
A1340617,1,.965753424657534,78.2260273972603,1,13,4,2,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0,0,0,0,0,0, ,81,81,0,0,0,255,336,27655,23800,3855,0,9,168,27,195,2,1, ,2,2,1, ,3,1,1,1,2,2500, , , , ,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,2,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,2,2,4,2,2,1,2,1,0,0,2,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
A1340618,1,.965753424657534,139.068493150685,1,13,4,2,1,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,3,12,1,1,0,0,1,0,0,0,0,0,0,0,0,1,3,2,0,1,0,0,0,0,0,0, ,144,120,20,4,0,250,394,29120,23800,5320,0,9,168,40,208,2,2,3,2,2,1, ,2,1,1,1,2,2500, , , , ,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,3,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,2,2,3,3,3,2,1,1,1,0,0,2,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0
A1340619,1,.965753424657534,64.7054794520548,1,13,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1, , , , , , , , , ,67,67,0,0,0,179,246,29985,23800,6185,0,9,168,46,214,2,2,3,2,3,2,1,2,1,1,1,2,2500, , , , ,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,2,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2,2,2,3,2,2,1,2,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
A1350620,1,1.03755868544601,200.24882629108,1,13,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,1,0,0,0, ,193,193,0,0,0,490,683,23800,23800,0,0,9,168,0,168,2,2,3,2,3,2,2,2,1,1,1,2,2000, , , , ,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,1,2,1,0,0,2,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0
A1350621,1,1.03755868544601,20.7511737089202,1,13,5,2,1,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,20,20,0,0,0,600,620,26800,23800,3000,0,9,168,22,190,2,1, ,2,4,2,4,2,1,1,1,2,1000, , , , ,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0
A1410623,8.49056603773585,8.23391812865497,8.23391812865497,1,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,1,1,0,0,0,3,4,23800,23800,0,0,9,168,0,168,2,1, ,2,4,1, ,1, ,1,1,2,2500, , , , ,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,2, ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,2,2,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
A1410625,8.49056603773585,8.23391812865497,41.1695906432749,1,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0, ,5,5,0,0,0,16,21,23800,23800,0,0,9,168,0,168,2,1, ,2,3,1, ,2,1,1,2, , ,1, , , ,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,2,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,1,1,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
A1410626,8.49056603773585,8.23391812865497,16.4678362573099,1,14,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,0,0,0,0,1,0,0,1,2,1, , , , , , , , , ,2,2,0,0,0,7,9,33800,23800,10000,0,9,168,60,228,2,1, ,2,3,1, ,3,2,1,1,2,2500, , , , ,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,2, ,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,2,2,2,1,1,2, ,0,0,1,2,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0
A1410627,8.49056603773585,8.23391812865497,32.9356725146199,1,14,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,4,0,4,0,0,20,24,23800,23800,0,0,9,168,0,168,2,2,2,1, ,2,2,2,1,1,1,2,2500, , , , ,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1,0,0,1,3,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,1,2,1,2,1,1,0,2,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0
A1410628,8.49056603773585,8.23391812865497,32.9356725146199,1,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1, , , , , , , , , ,4,4,0,0,0,13,17,27942,23800,4142,0,9,168,29,197,2,2,3,2,4,1, ,1, ,1,1,1, , , , , ,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,3,1,2,2, ,0,0,1,2,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0
A1410630,8.49056603773585,8.23391812865497,24.7017543859649,1,14,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,1,0,1,1,0,0,0,0,0,1,0,2, , , , , , , , , , , ,3,3,0,0,0,20,23,43800,23800,20000,0,9,168,150,318,2,2,3,2,3,2,3,1, ,1,3, , , , ,1, ,0,0,0,0,0,0, ,1,1,1,1,0,1,0,0,0,0,1,0,0,1,2,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,1,2,0,0,1,2,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0
A1410631,8.49056603773585,8.23391812865497,32.9356725146199,1,14,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,4,0,0,4,0,15,19,29113,23800,4713,600,9,168,33,201,2,1, ,2,4,1, ,2,1,2,1,2,1000, , , , ,0,1,0,0,0,0,2,1,1,1,1,0,1,0,0,0,0,1,0,0,2, ,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,2,3,2,1,2, ,0,0,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1
A1410634,8.49056603773585,8.23391812865497,8.23391812865497,1,14,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,1,0,1,0,0,2,3,29900,25900,4000,0,9,168,30,198,2,1, ,2,3,2,1,2,1,1,1,1, , , , , ,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,1,2,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,2,2,2,1,2,0,0,1,2,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0
A1410635,8.49056603773585,8.23391812865497,8.23391812865497,1,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,1,0,0,2, , , , , , , , , , , ,1,1,0,0,0,3,4,28056,23800,4256,0,9,168,32,200,2,2,2,2,2,2,2,1, ,1,1,1, , , , , ,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
A1410636,8.49056603773585,8.23391812865497,41.1695906432749,1,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,5,5,0,0,0,23,28,28800,23800,5000,0,9,168,30,198,1,1, ,1, ,1, ,1, ,1,2, , ,2,1440, , ,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,3,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,2,2,3,2,2,1,1,1,1,0,2,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0
A1410639,8.49056603773585,8.23391812865497,16.4678362573099,1,14,1,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,0,0,0,1,0,0,0,0,0,0,0,2, , , , , , , , , , , ,2,2,0,0,0,8,10,23800,23800,0,0,9,168,0,168,2,1, ,2,2,2,3,1, ,1,1,2,1000, , , , ,0,1,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,3,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,4,3,2,2, ,1,0,0,2,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0
A1410641,8.49056603773585,8.23391812865497,8.23391812865497,1,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,0,0,0,0,0,0,0,0,1,1,0,2, , , , , , , , , , , ,1,0,0,1,0,4,5,30500,23800,6200,500,9,168,43,211,2,1, ,2,4,1, ,2,1,1,1,1, , , , , ,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,1,1,1,2,1,1,0,2,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0
A1410642,8.49056603773585,8.23391812865497,32.9356725146199,1,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,0,0,0,0,0,1,0,0,0,0,0,2, , , , , , , , , , , ,4,4,0,0,0,13,17,29513,23800,5713,0,9,168,40,208,2,1, ,2,5,1, ,2,1,1,2, , ,1, , , ,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,3,1,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1,2,2,4,2,2,1,1,1,1,0,2,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
A1410643,8.49056603773585,8.23391812865497,8.23391812865497,1,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,1,1,0,0,0,5,6,25062,23800,1262,0,9,168,8,176,2,1, ,2,3,2,2,1, ,2,1,1, , , , , ,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,2, ,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,1,2,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0
A1410644,8.49056603773585,8.23391812865497,32.9356725146199,1,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,4,0,4,0,0,16,20,27942,23800,4142,0,9,168,29,197,1,1, ,1, ,1, ,1, ,1,1,2,2000, , , , ,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,2,2,2,3,1,1,1,2,1,0,0,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
A1410645,8.49056603773585,8.23391812865497,16.4678362573099,1,14,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,2,2,0,0,0,12,14,24920,23800,1120,0,9,168,8,176,2,2,2,1, ,1, ,1, ,1,1,2,2000, , , , ,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A1410646,8.49056603773585,8.23391812865497,32.9356725146199,1,14,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,3,6,1,1,0,1,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,4,4,0,0,0,25,29,28280,23800,4480,0,9,168,32,200,2,1, ,2,7,1, ,2,1,1,1,1, , , , , ,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,2,1,2,1,0,0,2,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
A1410647,8.49056603773585,8.23391812865497,16.4678362573099,1,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,2,2,0,0,0,8,10,23800,23800,0,0,9,176,0,176,2,1, ,2,3,1, ,1, ,1,1,2,2500, , , , ,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2, ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
A1410649,8.49056603773585,8.23391812865497,49.4035087719298,1,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,6,6,0,0,0,20,26,23800,23800,0,0,9,168,0,168,2,2,2,1, ,1, ,1, ,1,2, , ,1, , , ,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,2,2,1,2,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
A1410650,8.49056603773585,8.23391812865497,16.4678362573099,1,14,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1, , , , , , , , , ,2,2,0,0,0,15,17,28085,23800,4285,0,9,168,30,198,2,1, ,2,4,2,1,3,1,1,1,2,2500, , , , ,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,3,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,2,2,2,3,2,2,1,1,1,0,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
A1410651,8.49056603773585,8.23391812865497,16.4678362573099,1,14,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1, , , , , , , , , ,2,2,0,0,0,6,8,23800,23800,0,0,10,160,0,160,2,1, ,2,2,1, ,1, ,1,1,2,2750, , , , ,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,3,3,3,2,2,2, ,0,0,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
A1410654,8.49056603773585,8.23391812865497,16.4678362573099,1,14,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,1,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,2,2,0,0,0,5,7,24664,23800,864,0,9,168,6.5,174.5,2,1, ,2,3,1, ,2,1,1,1,2,2400, , , , ,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,3,3,3,3,3,1,2,1,0,0,2,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0
A1410655,8.49056603773585,8.23391812865497,41.1695906432749,1,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,5,5,0,0,0,19,24,23800,23800,0,0,9,168,0,168,2,1, ,2,3,1, ,2,1,1,1,2,2500, , , , ,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0,1,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,1,2,1,0,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1
A1410657,8.49056603773585,8.23391812865497,8.23391812865497,1,14,1,2,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,0,0,0,0,0,0,0,0,1,0,0,2, , , , , , , , , , , ,1,1,0,0,0,5,6,23800,23800,0,0,9,168,0,168,1,1, ,1, ,1, ,1, ,1,1,1, , , , , ,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2, ,1,0,0,2,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
A1410658,8.49056603773585,8.23391812865497,8.23391812865497,1,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,1,1,0,0,0,12,13,23800,23800,0,0,9,168,0,168,1,1, ,1, ,1, ,1, ,1,1,1, , , , , ,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2, ,0,0,1,2,1,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
A1410661,8.49056603773585,8.23391812865497,24.7017543859649,1,14,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,3,3,0,0,0,15,18,25300,23800,1500,0,9,168,10.5,178.5,2,2,5,2,2,2,3,1, ,1,3, , , , ,1, ,0,0,0,0,0,0, ,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,2,2,2,2,2,2,1,2,0,0,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1
A1410662,8.49056603773585,8.23391812865497,24.7017543859649,1,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,1,1,1,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,3,3,0,0,0,11,14,26306,23800,2506,0,9,168,16,184,2,1, ,2,7,1, ,2,1,1,1,2,2350, , , , ,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,2, ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2, ,1,0,0,2,0,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0
A1410663,8.49056603773585,8.23391812865497,24.7017543859649,1,14,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2, , , , , , , , , , , ,3,3,0,0,0,23,26,27942,23800,4142,0,9,168,29,197,1,1, ,1, ,1, ,1, ,1,2, , ,1, , , ,1,0,0,0,0,0,1,1,1,1,1,0,2,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,2, ,1,1,0,2,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0
A1410665,8.49056603773585,8.23391812865497,16.4678362573099,1,14,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,1, ,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1, , , , , , , , , ,2,2,0,0,0,8,10,23800,23800,0,0,9,168,0,168,1,1, ,1, ,1, ,1, ,1,3, , , , ,1, ,0,0,0,0,0,0, ,1,1,1,1,0,1,0,1,0,0,0,0,0,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,3,1,2,2, ,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
